Date,Close,Open,High,Low,Volume,Up&Down,Rate
2005-04-27,11000,11000,11150,10900,89280,0,0
2005-04-28,10600,11000,11000,10600,83300,-400,-3.636363636
2005-04-29,10450,10350,10600,10300,79730,-150,-1.41509434
2005-05-02,10500,10600,10600,10350,56670,50,0.4784689
2005-05-03,10400,10550,10600,10400,51595,-100,-0.952380952
2005-05-04,10650,10400,10750,10400,70385,250,2.403846154
2005-05-06,11000,10750,11000,10650,82445,350,3.286384977
2005-05-09,10600,10950,10950,10550,95305,-400,-3.636363636
2005-05-10,10700,10800,10800,10600,31380,100,0.943396226
2005-05-11,10450,10550,10650,10450,43070,-250,-2.336448598
2005-05-12,10400,10400,10550,10300,53530,-50,-0.4784689
2005-05-13,10450,10300,10500,10300,41150,50,0.480769231
2005-05-16,10500,10450,10600,10450,34295,50,0.4784689
2005-05-17,10450,10750,10750,10450,46000,-50,-0.476190476
2005-05-18,10700,10600,10700,10500,94050,250,2.392344498
2005-05-19,10900,10850,10900,10750,85191,200,1.869158879
2005-05-20,10850,11050,11050,10700,56430,-50,-0.458715596
2005-05-23,10800,10850,10900,10700,39950,-50,-0.460829493
2005-05-24,10700,10850,10950,10650,74890,-100,-0.925925926
2005-05-25,10700,10750,10750,10550,64230,0,0
2005-05-26,10600,10600,10650,10500,66440,-100,-0.934579439
2005-05-27,10750,10700,10850,10650,86757,150,1.41509434
2005-05-30,10800,10750,10800,10700,96004,50,0.465116279
2005-05-31,10700,10900,10900,10600,77589,-100,-0.925925926
2005-06-01,10800,10750,10800,10650,105358,100,0.934579439
2005-06-02,11100,10900,11250,10800,185450,300,2.777777778
2005-06-03,11000,11200,11300,10950,126118,-100,-0.900900901
2005-06-07,10750,10950,11050,10650,123430,-250,-2.272727273
2005-06-08,10700,10700,10900,10650,122731,-50,-0.465116279
2005-06-09,11000,10800,11100,10800,265180,300,2.803738318
2005-06-10,11650,11150,11700,11100,339990,650,5.909090909
2005-06-13,11700,11650,11950,11650,175540,50,0.429184549
2005-06-14,11500,11900,11900,11450,131850,-200,-1.709401709
2005-06-15,11900,11450,11900,11450,106960,400,3.47826087
2005-06-16,11900,11750,11900,11650,92720,0,0
2005-06-17,11650,11850,11850,11600,87020,-250,-2.100840336
2005-06-20,11400,11600,11750,11350,58150,-250,-2.145922747
2005-06-21,11250,11350,11550,11200,78680,-150,-1.315789474
2005-06-22,11700,11300,11800,11250,136290,450,4
2005-06-23,12150,11750,12150,11650,226670,450,3.846153846
2005-06-24,11900,11900,12000,11650,158981,-250,-2.057613169
2005-06-27,11600,11800,11800,11550,98461,-300,-2.521008403
2005-06-28,11750,11500,11800,11500,127968,150,1.293103448
2005-06-29,11850,11950,11950,11650,134232,100,0.85106383
2005-06-30,12150,11850,12150,11850,348554,300,2.53164557
2005-07-01,13350,12250,13800,12250,1457157,1200,9.87654321
2005-07-04,14100,13650,14600,13250,792439,750,5.617977528
2005-07-05,14100,14300,14350,13800,250782,0,0
2005-07-06,14050,14300,14400,13600,287141,-50,-0.354609929
2005-07-07,13600,13800,13850,13550,187580,-450,-3.202846975
2005-07-08,12900,13550,13750,12900,294729,-700,-5.147058824
2005-07-11,13300,13100,13550,12850,281324,400,3.100775194
